subject,session,experiment_phase,trial_index,log_num,log_time
SC000,0,TEST,95,0,331014.685329015
SC000,0,TEST,96,0,331020.978858914
SC000,0,TEST,97,0,331027.935476189
SC000,0,TEST,98,0,331035.181926448
SC000,0,TEST,99,0,331041.4148598825
SC000,0,TEST,100,0,331047.919889704
SC000,0,TEST,101,0,331054.10024336947
SC000,0,TEST,102,0,331060.81089395
SC000,0,TEST,103,0,331066.26254796004
SC000,0,TEST,104,0,331073.1929349805
SC000,0,TEST,105,0,331079.7676437235
SC000,0,TEST,106,0,331086.0860910255
SC000,0,TEST,107,0,331092.840818424
SC000,0,TEST,108,0,331099.023389332
SC000,0,TEST,109,0,331105.39180329803
SC000,0,TEST,110,0,331114.05801880546
SC000,0,TEST,111,0,331120.93689765397
SC000,0,TEST,112,0,331127.489289275
SC000,0,TEST,113,0,331134.321100089
SC000,0,TEST,114,0,331141.7906811475
SC000,0,TEST,115,0,331149.14354295295
SC000,0,TEST,116,0,331155.6359633655
SC000,0,TEST,117,0,331162.079433091
SC000,0,TEST,118,0,331169.03634172946
SC000,0,TEST,119,0,331176.6489993625
SC000,0,TEST,120,0,331183.1743995365
SC000,0,TEST,121,0,331190.66694690497
SC000,0,TEST,122,0,331197.1154737215
SC000,0,TEST,123,0,331204.1864627965
SC000,0,TEST,124,0,331211.18241394055
SC000,0,TEST,125,0,331218.1904689545
SC000,0,TEST,126,0,331225.1585708655
SC000,0,TEST,127,0,331231.398867491
SC000,0,TEST,128,0,331238.15622257
SC000,0,TEST,129,0,331244.3176260225
SC000,0,TEST,130,0,331250.9501219315
SC000,0,TEST,131,0,331258.463964052
SC000,0,TEST,132,0,331264.4564699695
SC000,0,TEST,133,0,331270.7693576025
SC000,0,TEST,134,0,331278.928121901
SC000,0,TEST,135,0,331285.9904031695
SC000,0,TEST,136,0,331292.694715063
SC000,0,TEST,137,0,331300.2010425705
SC000,0,TEST,138,0,331306.5977299685
SC000,0,TEST,139,0,331312.7326598995
SC000,0,TEST,140,0,331319.4650414565
SC000,0,TEST,141,0,331325.71156466997
SC000,0,TEST,142,0,331331.8629522065
SC000,0,TEST,143,0,331338.196965108
SC000,0,TEST,144,0,331344.383932142
SC000,0,TEST,145,0,331351.2311068145
SC000,0,TEST,146,0,331357.5362118735
SC000,0,TEST,147,0,331363.628553381
SC000,0,TEST,148,0,331369.69030912
SC000,0,TEST,149,0,331376.7520663175
SC000,0,TEST,150,0,331383.16777152
SC000,0,TEST,151,0,331389.561873827
SC000,0,TEST,152,0,331396.6286318955
SC000,0,TEST,153,0,331402.9094633535
SC000,0,TEST,154,0,331409.2166984065
SC000,0,TEST,155,0,331415.2888424915
SC000,0,TEST,156,0,331421.5343030085
SC000,0,TEST,157,0,331429.1509651835
SC000,0,TEST,158,0,331435.1729497375
SC000,0,TEST,159,0,331442.53897112096
SC000,0,TEST,160,0,331449.0138801065
SC000,0,TEST,161,0,331455.73554597003
SC000,0,TEST,162,0,331462.1130976385
SC000,0,TEST,163,0,331470.5208317605
SC000,0,TEST,164,0,331477.0958840205
SC000,0,TEST,165,0,331484.134781759
SC000,0,TEST,166,0,331490.9446992295
SC000,0,TEST,167,0,331497.7301304065
