subject,session,experiment_phase,trial_index,pulse_time,log_num,log_time
SC000,0,STUDY2,62,328963617.860124,0,328966.85505615454
SC000,0,STUDY2,63,328969861.102765,0,328973.0659832425
SC000,0,STUDY2,64,328976066.400314,0,328979.777965721
SC000,0,STUDY2,65,328982778.466684,0,328986.27585564
SC000,0,STUDY2,66,328989282.05734104,0,328992.859041739
SC000,0,STUDY2,67,328995859.35675704,0,328999.43659898103
SC000,0,STUDY2,68,329002441.706984,0,329005.8477721015
SC000,0,STUDY2,69,329008848.407583,0,329013.438956876
SC000,0,STUDY2,70,329016439.61427903,0,329019.6082716655
SC000,0,STUDY2,71,329022615.264654,0,329025.78468444804
SC000,0,STUDY2,72,329028785.312641,0,329032.727483143
SC000,0,STUDY2,73,329035732.23569304,0,329039.214213235
SC000,0,STUDY2,74,329042214.815745,0,329045.86025963095
SC000,0,STUDY2,75,329048860.75841004,0,329051.9423675745
SC000,0,STUDY2,76,329054942.85688996,0,329058.72897070553
SC000,0,STUDY2,77,329061729.420214,0,329065.393826753
SC000,0,STUDY2,78,329068394.267098,0,329071.88898198504
SC000,0,STUDY2,79,329074889.162838,0,329078.339120725
SC000,0,STUDY2,80,329081339.433438,0,329084.8154407755
SC000,0,STUDY2,81,329087816.079889,0,329091.1356519745
SC000,0,STUDY2,82,329094135.87787604,0,329098.25430012203
SC000,0,STUDY2,83,329101254.771856,0,329104.660983509
SC000,0,STUDY2,84,329107661.18792397,0,329111.1255948245
SC000,0,STUDY2,85,329114126.17351097,0,329117.61082927
SC000,0,STUDY2,86,329120611.204168,0,329124.68745158147
SC000,0,STUDY2,87,329127691.85357,0,329131.6498241675
SC000,0,STUDY2,88,329134650.088874,0,329137.8977730815
SC000,0,STUDY2,89,329140898.363735,0,329144.919086379
SC000,0,STUDY2,90,329147919.72898597,0,329151.8104165765
SC000,0,STUDY2,91,329154810.66051203,0,329157.97480050405
SC000,0,STUDY2,92,329160975.389056,0,329165.33055285004
SC000,0,STUDY2,93,329168331.17289495,0,329171.4901208355
SC000,0,STUDY2,94,329174490.899212,0,329177.9123634295
SC000,0,STUDY2,95,329180916.889777,0,329184.48191171803
SC000,0,STUDY2,96,329187482.042747,0,329190.87969701353
SC000,0,STUDY2,97,329193885.289205,0,329197.9499159095
SC000,0,STUDY2,98,329200950.13992304,0,329205.244199616
SC000,0,STUDY2,99,329208249.958658,0,329211.5858365365
SC000,0,STUDY2,100,329214586.342879,0,329218.218010742
SC000,0,STUDY2,101,329221218.198025,0,329224.776171049
SC000,0,STUDY2,102,329227776.584509,0,329231.3724197075
SC000,0,STUDY2,103,329234372.866759,0,329238.6009336225
SC000,0,STUDY2,104,329241601.08935905,0,329245.2593257065
SC000,0,STUDY2,105,329248259.80286103,0,329251.8298977235
SC000,0,STUDY2,106,329254835.662468,0,329258.87886431755
SC000,0,STUDY2,107,329261883.81094605,0,329265.266090769
SC000,0,STUDY2,108,329268273.362373,0,329272.189987148
SC000,0,STUDY2,109,329275190.407999,0,329278.580489642
SC000,0,STUDY2,110,329281585.401293,0,329285.3171123495
SC000,0,STUDY2,111,329288317.52467704,0,329292.6804887415
SC000,0,STUDY2,112,329295680.593085,0,329299.4629364775
SC000,0,STUDY2,113,329302467.879579,0,329305.54248441197
SC000,0,STUDY2,114,329308543.016071,0,329311.83210160653
SC000,0,STUDY2,115,329314832.385575,0,329318.368110378
SC000,0,STUDY2,116,329321368.50188,0,329324.4737060895
SC000,0,STUDY2,117,329327478.905546,0,329332.024463822
SC000,0,STUDY2,118,329335024.566936,0,329338.3733435845
SC000,0,STUDY2,119,329341373.605958,0,329344.715913574
SC000,0,STUDY2,120,329347722.639471,0,329351.57157625153
SC000,0,STUDY2,121,329354571.92101204,0,329358.087622933
SC000,0,STUDY2,122,329361094.23525006,0,329364.91242773447
SC000,0,STUDY2,123,329367916.67092496,0,329371.824590057
SC000,0,STUDY2,124,329374829.477298,0,329378.266894368
SC000,0,STUDY2,125,329381267.43817204,0,329384.743779828
SC000,0,STUDY2,126,329387749.10361195,0,329391.040571837
SC000,0,STUDY2,127,329394046.89818704,0,329397.2084306285
SC000,0,STUDY2,128,329400208.79845697,0,329404.3727577015
SC000,0,STUDY2,129,329407373.23483205,0,329411.020212827
SC000,0,STUDY2,130,329414020.412908,0,329417.545923523
SC000,0,STUDY2,131,329420552.058146,0,329424.07847809803
SC000,0,STUDY2,132,329427078.67467505,0,329431.18616165547
SC000,0,STUDY2,133,329434186.56393504,0,329439.1152637345
SC000,0,STUDY2,134,329442120.88575804,0,329447.061672848
SC000,0,STUDY2,135,329450061.965746,0,329453.3508820795
SC000,0,STUDY2,136,329456351.184453,0,329460.53653256595
SC000,0,STUDY2,137,329463537.078329,0,329467.1614936805
SC000,0,STUDY2,138,329470166.348295,0,329474.189653385
SC000,0,STUDY2,139,329477190.274889,0,329480.8989110085
SC000,0,STUDY2,140,329483899.219234,0,329486.99002193904
SC000,0,STUDY2,141,329489990.53972,0,329493.375668802
SC000,0,STUDY2,142,329496381.575099,0,329499.637677562
SC000,0,STUDY2,143,329502638.530779,0,329506.407308052
SC000,0,STUDY2,144,329509407.530806,0,329512.7716614065
SC000,0,STUDY2,145,329515771.92575,0,329519.6946218945
SC000,0,STUDY2,146,329522694.911351,0,329526.197992429
SC000,0,STUDY2,147,329529202.431602,0,329532.31856986205
SC000,0,STUDY2,148,329535318.812993,0,329538.515868288
SC000,0,STUDY2,149,329541516.750294,0,329544.7363582815
SC000,0,STUDY2,150,329547741.806697,0,329551.28257273696
SC000,0,STUDY2,151,329554282.770394,0,329558.00581959
SC000,0,STUDY2,152,329561012.637617,0,329564.2583054655
SC000,0,STUDY2,153,329567264.08145905,0,329570.20650100696
SC000,0,STUDY2,154,329573212.221929,0,329577.082388742
SC000,0,STUDY2,155,329580082.78302205,0,329583.51487584796
SC000,0,STUDY2,156,329586520.166745,0,329589.7944404055
SC000,0,STUDY2,157,329592795.165676,0,329596.3863286575
SC000,0,STUDY2,158,329599386.83256,0,329602.554313907
SC000,0,STUDY2,159,329605560.069715,0,329608.7525733115
SC000,0,STUDY2,160,329611757.936177,0,329616.2170894065
SC000,0,STUDY2,161,329619223.853276,0,329622.3963094565
SC000,0,STUDY2,162,329625397.114944,0,329628.7622279825
SC000,0,STUDY2,163,329631762.35657203,0,329635.21677206794
SC000,0,STUDY2,164,329638216.983667,0,329641.5877139465
SC000,0,STUDY2,165,329644588.143906,0,329647.04762203305
SC000,0,STUDY2,166,329650047.940624,0,329653.4722849465
SC000,0,STUDY2,167,329656472.927558,0,329659.90775447246
SC000,0,STUDY2,168,329662908.070096,0,329665.9827898565
SC000,0,STUDY2,169,329668991.91208,0,329672.31954630103
SC000,0,STUDY2,170,329675326.053303,0,329678.6644464235
SC000,0,STUDY2,171,329681664.72210395,0,329685.793964521
SC000,0,STUDY2,172,329688799.03561205,0,329692.31281443546
SC000,0,STUDY2,173,329695313.085961,0,329698.47650467
SC000,0,STUDY2,174,329701481.268528,0,329705.047355572
SC000,0,STUDY2,175,329708047.758832,0,329711.1789430455
SC000,0,STUDY2,176,329714179.535996,0,329717.4423310555
SC000,0,STUDY2,177,329720442.611481,0,329723.56097830646
SC000,0,STUDY2,178,329726561.34919,0,329729.64271302754
SC000,0,STUDY2,179,329732647.933866,0,329735.89479100704
SC000,0,STUDY2,180,329738895.48222804,0,329742.099516779
SC000,0,STUDY2,181,329745105.83622605,0,329748.60840690904
SC000,0,STUDY2,182,329751613.371725,0,329755.0322785005
SC000,0,STUDY2,183,329758039.17351997,0,329761.2512319735
SC000,0,STUDY2,184,329764251.517793,0,329767.527066499
SC000,0,STUDY2,185,329770527.752994,0,329774.392851801
SC000,0,STUDY2,186,329777400.239477,0,329780.90356607246
SC000,0,STUDY2,187,329783908.94576204,0,329787.39232475753
SC000,0,STUDY2,188,329790392.974653,0,329793.556418017
SC000,0,STUDY2,189,329796557.03385794,0,329800.435079368
SC000,0,STUDY2,190,329803440.39642197,0,329806.7857952555
SC000,0,STUDY2,191,329809792.13493997,0,329813.1985474295
