subject,session,experiment_phase,event,trial_index,sync_time,orient_time,trial_time,time_to_respond,log_num,log_time
SC000,0,STUDY1,ENCODING_LONG,214,328089809.053156,328089830.805848,328091818.310492,1892.4591675167903,0,328093.7232650155
SC000,0,STUDY1,ENCODING_LONG,215,328096723.74049103,328096753.417227,328098742.234852,2045.550478505902,0,328100.7989677055
SC000,0,STUDY2,ENCODING_SHORT,0,328542909.342737,328542967.31423205,328544920.445201,1299.3893414968625,0,328546.2667035735
SC000,0,STUDY2,ENCODING_SHORT,1,328549267.110752,328549296.52204704,328551292.374817,1773.3101199846715,0,328553.069832167
SC000,0,STUDY2,ENCODING_SHORT,2,328556070.122016,328556108.190574,328558079.830903,1369.1581065068021,0,328559.4773486805
SC000,0,STUDY2,ENCODING_SHORT,3,328562477.581523,328562507.52665204,328564541.881217,2526.6079065040685,0,328567.0341345585
SC000,0,STUDY2,ENCODING_SHORT,4,328570034.368098,328570062.080903,328572057.65971905,1756.1107125366107,0,328573.8181916155
SC000,0,STUDY2,ENCODING_SHORT,5,328576818.47510105,328576857.538699,328578832.578182,1602.2780264611356,0,328580.45981672546
SC000,0,STUDY2,ENCODING_SHORT,6,328583464.272461,328583483.772112,328585476.753105,1090.4964225483127,0,328586.57426853455
SC000,0,STUDY2,ENCODING_SHORT,7,328589579.559044,328589599.590728,328591590.38721895,1838.6054339935072,0,328593.438196162
SC000,0,STUDY2,ENCODING_SHORT,8,328596438.490031,328596477.409899,328598454.520125,1239.2589499941096,0,328599.716668849
SC000,0,STUDY2,ENCODING_SHORT,9,328602717.709971,328602753.106006,328604724.457258,1169.2166450084187,0,328605.922322651
SC000,0,STUDY2,ENCODING_SHORT,10,328608927.68241304,328608947.380443,328610943.10604405,1141.6531089926139,0,328612.089033552
SC000,0,STUDY2,ENCODING_SHORT,11,328615089.482856,328615129.17603403,328617105.603132,1404.929665965028,0,328618.5341057
SC000,0,STUDY2,ENCODING_SHORT,12,328621534.574339,328621563.906565,328623555.489286,1131.0478204977699,0,328624.6949543855
SC000,0,STUDY2,ENCODING_SHORT,13,328627695.211263,328627735.036749,328629706.473386,2138.62236100249,0,328631.87365911
SC000,0,STUDY2,ENCODING_SHORT,14,328634874.453463,328634910.63666296,328636892.962094,1984.3440035474487,0,328638.8949806665
